ID,Titulo,Tipo,Prioridade,Tamanho,Epico,Area,Risco,Contexto,CriterioAceite,Arquivos,DependeDe,BomParaIniciante
AUTH-010,Exigir e-mail e WhatsApp juntos e amarrar o OTP de convidado a um pedido específico,bug,P0,G,Segurança e privacidade do cliente,AUTH,"alto — reescreve as duas RPCs que o fluxo 'Rastrear sem Conta' usa, ambas com EXECUTE para anon. Errar a condição deixa o rastreio de convidado inacessível para todo mundo, e a tela não tem caminho alternativo.","A tela de rastreio pede WhatsApp, e-mail e um ID de pedido marcado como opcional. A RPC casa os pedidos com OR entre WhatsApp e e-mail, o fragmento vazio vira ILIKE '%' (casa qualquer pedido) e o OTP é gravado com o e-mail que o próprio chamador digitou. Quem souber o WhatsApp de um cliente recebe na caixa dele o código que abre os pedidos da vítima: nome, e-mail, telefone, itens, totais e endereço completo. Não há limite de tentativas no código de 6 dígitos.","Nova migration recria generate_order_otp_v1 exigindo AND entre e-mail e WhatsApp, e rejeita fragmento de pedido com menos de 6 caracteres. · Chamar generate_order_otp_v1 com o WhatsApp de um pedido real e um e-mail que não consta naquele pedido retorna falso e NÃO insere linha em otp_verifications (verificável via scripts/db-apply.cjs em transação com ROLLBACK). · otp_verifications ganha order_id NOT NULL e attempts; get_orders_by_otp_v1 devolve somente o pedido daquele order_id, nunca a lista por e-mail. · get_orders_by_otp_v1 invalida o código após 5 tentativas erradas, e o caminho de falha RETORNA um objeto de erro em vez de RAISE — no PostgREST cada RPC é uma transação, e o RAISE reverteria o incremento do contador. · O campo de ID do pedido na UI deixa de dizer '(OPCIONAL)' e o submit fica bloqueado enquanto ele estiver vazio. · Os GRANTs de EXECUTE para anon foram reconferidos em pg_proc.proacl depois do replace.",supabase/migrations/ (arquivo novo) · src/components/ui/custom/OrderSearch.tsx · src/hooks/useOrders.ts · scripts/db-apply.cjs,nada,"não — exige entender a semântica transacional do PostgREST (RAISE reverte o contador de tentativas) e alterar RPC exposta a anon, com um fluxo de cliente que quebra em silêncio se a condição sair errada."
CHECKOUT-010,Decidir: a loja vai cobrar dentro do site ou a cobrança continua acontecendo fora?,decisao,P0,P,Receber pagamento no site,CHECKOUT,"baixo — é uma conversa, não mexe em código. O risco está em NÃO decidir: todo o épico de pagamento fica parado.","Hoje o checkout não cobra nada. O 'metodo de pagamento' é só um rótulo de texto gravado no pedido, e a tela de sucesso com confete aparece no instante em que a linha do pedido é gravada. Pior: o estoque é decrementado na criação do pedido mesmo sem ninguém ter pago. Nada nesta área pode ser planejado antes desta resposta.","Gabriel responde por escrito uma das três: (a) integrar gateway X, (b) PIX estático com conferência manual, (c) continuar cobrando 100% fora do site · Se a resposta for (a), o nome do gateway e quem tem a conta ficam registrados em docs/onboarding/ · Se a resposta for (b) ou (c), fica registrado quem confere o pagamento e em quanto tempo, e a decisão entra na doc como escolha consciente e não como lacuna",src/views/customer/CheckoutView.tsx · src/types/index.ts · docs/onboarding/01-VISAO-GERAL.md,nada,"não — é decisão de negócio do dono, não tem código pra escrever"
PEDIDO-010,Trocar != por IS DISTINCT FROM na checagem de dono de update_order_status_atomic,bug,P0,M,Segurança e privacidade do cliente,PEDIDO,"médio — recriar a função obriga a repetir os GRANT/REVOKE; se esquecer, o cancelamento do cliente para de funcionar de imediato. A mudança em si é de uma linha.","Pedido de convidado é gravado com user_id NULL. A checagem de dono usa '!=' e, em SQL, 'NULL != &lt;uuid&gt;' avalia para NULL — o IF nunca dispara e a exceção de autorização nunca acontece. Qualquer usuário logado que conheça o id de um pedido de convidado (ele aparece na tela de sucesso, no rastreio e em prints) consegue cancelar o pedido de outra pessoa. O cancelamento devolve o estoque, então a venda é desfeita de verdade.","Nova migration com CREATE OR REPLACE (não DROP) troca '!=' por 'IS DISTINCT FROM' e nega chamador cujo auth.uid() seja NULL. · Usuário logado A, de posse do id de um pedido de convidado, recebe exceção de autorização ao chamar a RPC — comprovado em transação com ROLLBACK. · Admin continua conseguindo mudar o status de pedido de convidado. · Cliente dono continua conseguindo cancelar o próprio pedido em status pending. · pg_proc.proacl da função conferido depois do replace é igual ao de antes.",supabase/migrations/ (arquivo novo) · supabase/migrations/20260707000000_fix_update_order_status_atomic.sql · src/hooks/useOrders.ts · scripts/db-apply.cjs,nada,"não — fora das 7 tarefas de entrada escolhidas; ver ""Por onde o Netim começa"" no topo"
PEDIDO-020,Avisar o lojista quando entra um pedido novo,feature,P0,M,Operação do lojista,PEDIDO,"médio — envolve edge function e possivelmente trigger no banco; qualquer trigger novo em marketplace_orders entra no caminho do checkout e um erro ali derruba a venda. Fazer o disparo assíncrono e tolerante a falha.","Não existe nenhum canal que avise o lojista de pedido novo: nem push, nem e-mail, nem som, nem badge. O único sinal é o canal realtime da tela de pedidos do admin, que exige a tela aberta e ativa. Em loja com estoque imediato, pedido parado por horas é a causa número um de cancelamento.","Criar um pedido de teste com o painel admin FECHADO e o lojista recebe o aviso em até 1 minuto · O aviso contém número do pedido, valor e nome do cliente · Se o canal de aviso falhar, o pedido continua sendo criado normalmente (falha do aviso não pode abortar o checkout) · O caminho de disparo não exige que o chamador seja admin",supabase/functions/send-push/index.ts · src/hooks/useOrders.ts · src/views/admin/AdminOrdersView.tsx,[PUSH-030],não — precisa decidir arquitetura de disparo (trigger vs chamada do front vs webhook) e mexe no caminho crítico do checkout
ADMIN-010,Fazer updateConfig sinalizar falha em vez de engolir o erro e mostrar sucesso,bug,P1,M,Painel administrativo que não mente,ADMIN,"médio — muda a assinatura de uma função do StoreContext consumida por cinco telas de admin; deixar uma tela sem ajustar troca o toast falso por comportamento inconsistente.","updateConfig captura qualquer erro internamente e retorna normalmente, sem re-lançar e sem devolver sucesso. Todo chamador que embrulhou a chamada num try/catch tem catch morto: em caso de falha (RLS, sessão expirada, rede) a UI segue para onSetDirty(false) e toast de sucesso. Em AdminCarouselsView isso faz o admin ver 'Vitrines salvas com sucesso!', o modal fechar e a vitrine sumir da lista. O mesmo padrão de catch morto existe em AdminShippingView, AdminPushView, AdminReviewsView e AdminCouponsView.","updateConfig passa a devolver Promise<boolean> (ou lançar) e não mais Promise<void> silencioso. · As cinco telas que chamam updateConfig respeitam o retorno: em falha, não limpam o formulário, não fecham o modal e não mostram toast de sucesso. · O early-return de não-admin também sinaliza falha ao chamador. · Simular falha (revogar sessão no DevTools e salvar) mostra erro e mantém o formulário preenchido, em todas as cinco telas. · O caminho de sucesso continua idendico ao de hoje.",src/contexts/StoreContext.tsx · src/views/admin/AdminCarouselsView.tsx · src/views/admin/AdminShippingView.tsx · src/views/admin/AdminPushView.tsx · src/views/admin/AdminReviewsView.tsx · src/views/admin/AdminCouponsView.tsx,nada,"não — fora das 7 tarefas de entrada escolhidas; ver ""Por onde o Netim começa"" no topo"
ADMIN-020,Decidir se as colunas de vitrines e de banner completo entram no banco ou saem do código,decisao,P1,P,Painel administrativo que não mente,ADMIN,"médio — criar coluna em store_config e em banners é barato; remover campo do formulário apaga funcionalidade que o Gabriel talvez queira. É escolha de produto, não de engenharia.","Duas telas do admin escrevem em colunas que não existem no banco de produção. A curadoria de vitrines (AdminCarouselsView) manda home_sections no payload, a coluna não existe em nenhuma relação, o RPC a ignora em silêncio e a tela mostra 'Configurações salvas' — nada persiste. E o formulário de banners no modo 'completo' escreve subtitle, title_color, badge_text, start_date, end_date e show_text_overlay: os tipos declaram 22 colunas para a tabela banners, a produção tem 8, e o PostgREST rejeita. Nos dois casos a saída é a mesma pergunta: cria a coluna e persiste, ou remove o campo e desliga a tela?","Está escrito, para vitrines: cria a coluna home_sections e persiste, ou remove o campo do payload e desliga a tela de curadoria. · Está escrito, para banners: quais dos 15 campos do modo completo viram coluna e quais saem do formulário e dos tipos. · A decisão registra que os tipos em database.types.ts estão dessincronizados do banco e como serão regerados. · A decisão registra que nenhuma migration do repo cria essas colunas (grep por badge_text/subtitle em supabase/migrations: 0 arquivos).",src/views/admin/AdminCarouselsView.tsx · src/contexts/StoreContext.tsx · src/hooks/useBanners.ts · src/views/admin/AdminBannersView.tsx · src/types/database.types.ts,nada,"não — a informação que falta é de produto (o que o lojista realmente usa dessas telas), não está no código e só o Gabriel tem."
ADMIN-030,Parar de apagar do storage a imagem de banner que o admin não enviou nesta sessão,bug,P1,M,Painel administrativo que não mente,ADMIN,"alto — AdminBannersView.tsx tem 5.385 linhas num componente só, com três pontos de limpeza de arquivo e um handler global de Escape. O erro atual é silenciado com .catch(() =&gt; {}), então regressão aqui também será silenciosa.","Dois caminhos apagam do bucket a imagem errada. Ao DUPLICAR um banner, o formulário recebe a URL da imagem do original e o editingBanner é zerado; se o admin fechar sem salvar, a limpeza compara formData.imageUrl com editingBanner?.imageUrl (undefined), a comparação é sempre verdadeira e o arquivo do banner ORIGINAL é apagado — o banner original continua na tabela apontando para URL 404 e a Home exibe espaço vazio. E o handler global de Escape testa isDialogOpen ANTES de isAdjusterOpen: como o editor de imagem abre por cima do formulário, apertar Esc dentro do editor fecha o formulário inteiro e dispara a mesma limpeza, apagando a imagem recém-enviada. O mesmo caminho é usado pelo gesto de voltar no mobile.","A limpeza de arquivos órfãos só apaga URLs que foram enviadas NESTA sessão do formulário (ref de uploads da sessão), nunca por comparação com editingBanner. · Duplicar um banner e cancelar não apaga nenhum arquivo do storage; a imagem do original continua acessível. · Esc dentro do editor de imagem fecha apenas o editor, e o formulário permanece aberto com a imagem intacta. · O gesto de voltar no mobile tem o mesmo comportamento do Esc. · deleteBanner e updateBanner não apagam URL que ainda esteja referenciada por outro banner. · O .catch(() => {}) da exclusão passa a registrar o erro em vez de engolir.",src/views/admin/AdminBannersView.tsx · src/hooks/useBanners.ts,nada,"não — o arquivo tem 5.385 linhas num único componente, três pontos de limpeza concorrentes e um handler de teclado global; achar todos os caminhos exige tempo de leitura que um dev recém-chegado não tem."
AUTH-020,Por que o envio do OTP depende de um SEGUNDO projeto Supabase e quem tem acesso a ele?,decisao,P1,P,Decisões pendentes,AUTH,baixo — é uma resposta. O risco vivo é o de hoje: um fluxo de produção depende de código que não está neste repositório.,"O rastreio de pedido de convidado depende de um e-mail com código. O gatilho que dispara esse e-mail chama uma edge function publicada num SEGUNDO projeto Supabase, cujo código-fonte não está neste repositório e cuja função equivalente daqui deploya para o projeto principal. Se esse segundo projeto for pausado, o convidado para de conseguir consultar pedido e ninguém acha a causa olhando este repo.","Está escrito por que o segundo projeto existe e desde quando · Está escrito quem tem acesso a ele e onde vive o código-fonte da função publicada lá · Foi decidido: consolidar tudo no projeto principal ou manter os dois, com o motivo registrado · Se for consolidar, existe uma task com o passo de troca e o rollback",supabase/functions/send-otp-email/index.ts · supabase/migrations/20260708190000_secure_otp_flow.sql · docs/onboarding/05-FLUXOS-CRITICOS.md,nada,não — só o Gabriel sabe por que o segundo projeto existe
BANCO-010,Parar de expor a coluna custo para qualquer usuário autenticado,bug,P1,M,Segurança e privacidade do cliente,BANCO,"médio — a policy produtos_select_policy libera a LINHA inteira pelo ramo `ativo = true`; restringir errado tira o catálogo do ar ou tira o custo do admin, que precisa dele nas telas de produto e no ROI de estoque.","Qualquer pessoa que crie conta na loja lê a margem de todos os produtos ativos com uma única chamada PostgREST. Foi medido, não inferido: com SET LOCAL ROLE authenticated, SELECT count(custo) FROM produtos WHERE ativo=true devolveu 18 de 18. O visitante anônimo NÃO vê, porque passa por vw_produtos_public, que não tem a coluna — ou seja, a proteção de hoje é por omissão de coluna numa view, não por regra.","Com SET LOCAL ROLE authenticated e um auth.uid() de cliente comum, SELECT custo FROM produtos falha ou devolve NULL para as 18 linhas ativas. · O painel admin continua exibindo custo, margem e o bloco de ROI de estoque sem erro de permissão. · A vitrine do visitante anônimo continua carregando os produtos normalmente. · A mudança está numa migration versionada, não aplicada pelo dashboard.",supabase/migrations/ (arquivo novo) · src/hooks/useProducts.ts · src/contexts/StoreContext.tsx · src/types/database.types.ts,nada,"não — fora das 7 tarefas de entrada escolhidas; ver ""Por onde o Netim começa"" no topo"
BANCO-020,Adicionar guarda de is_admin em get_category_analytics,bug,P1,P,Segurança e privacidade do cliente,BANCO,baixo — CREATE OR REPLACE acrescentando o mesmo bloco de guarda que as outras RPCs administrativas já usam. Não mexe em schema nem em policy.,"A RPC roda como SECURITY DEFINER (ignora o RLS de marketplace_orders, marketplace_order_items e produtos) e não tem a checagem de admin que as irmãs têm. O EXECUTE está concedido a authenticated, então qualquer cliente cadastrado extrai faturamento consolidado por categoria, número de pedidos, ticket médio e total arrecadado em frete usando o mesmo cliente Supabase da loja.","Nova migration usa CREATE OR REPLACE (não DROP, que obrigaria a refazer os GRANTs) e acrescenta IF NOT public.is_admin() THEN RAISE EXCEPTION. · Chamada com sessão de cliente comum retorna erro de permissão. · O bloco 'Divisão de Faturamento' do dashboard continua carregando para o admin. · O ACL da função em pg_proc.proacl é o mesmo antes e depois.",supabase/migrations/ (arquivo novo) · supabase/migrations/20260704170000_reconcile_category_analytics_frete.sql · src/hooks/useAnalytics.ts,nada,"sim — É a porta de entrada para o padrão de RPC SECURITY DEFINER com guarda de is_admin(), que sustenta boa parte do backend, e obriga a escrever e aplicar uma migration num projeto cujo ledger está fora de sincronia. Fecha um vazamento real: hoje qualquer cliente cadastrado extrai o faturamento consolidado da loja."
